,reviews,ratings,date
6322,"Way over crowded. Lines an hour long. Closed early for Mickeys Halloween party, but didn't tell us before purchasing tickets. Disappointed. Go to Disney World instead. Much better experience.",1/5,4 years ago on  Google
6323,"Over population is a huge problem. Was able to go on 2 rides and see 2 characters in 7.5 hours. They need to raise the price to $500 and cut the capacity in half. Then, it may be worth it like it was in 1998",2/5,4 years ago on  Google
6324,"What makes this park 5 stars is that they have an app that's shows where everything is""bathroom , rides, food, shows, etc...."". Making it easy to navigate and another special feature ""if you get it"" the fast pass making so you can get through the longest lines without waiting in the line. Staying at the Disney resort made getting to Disney Land made easy 👍👍👍👍👍",5/5,3 years ago on  Google
6325,"We visit Disneyland every few years and it seems to get better every visit! Not only is it fun for the whole family, but it also is improving in its processes for allowing a maximized amount of fun for each visitor. Downtown Disney no longer has the imax theater which was disappointing but it looks like they are making some very exciting changes to the shops and restaurants that are available in the Downtown Disney area.   Just FYI,  There is no cost to enter Downtown Disney shops and restaurants.We made the mistake of only  Buying the one day pass. In the future we will definitely maximize our time there (and our value) by making sure that we do the full 4-day pass. There is just far too much to absorb in one single day.As a family with small children (13, 8 and 5), one thing that we did that was particularly helpful was  I informed them that they would not be allowed to purchase anything as far as a souvenir was concerned during the day that we spent in Disneyland. Instead, it was their reward to pick out souvenirs up to a certain cash value the day following if they were well-behaved.  It worked out beautifully for us.",5/5,4 years ago on  Google
6326,Always a great time here!,5/5,4 years ago on  Google
6327,"What can I say about Disneyland! Magical, fun filled family entertainment at its finest. You pay a decent chunk of money;however, the value you get in return is worth it to me. Lots of shoes, parades, character interactions. Attractions for all ages, tons of food options and of course there is the shopping and picture takin opportunities. It is a safe, clean and familiar place that we can all escape to for at least a day to mingle and play with our favorite Disney characters and create lasting memories with our family!",5/5,4 years ago on  Google
6328,"I remember a time when Disneyland was about the experience. It is not anymore. Over $700+ for family of four, without parking, food, or souvenir costs. The major rides were closed down, the other rides brokedown. Only two rides didn't break down while we were on them. New Star Wars land has one ride and like eight shops, one of which needs a reservation to shop in. All the employees are out demoing the stuff to buy. Disneyland is clearly just about the money. Poor Walt is not resting in peace with how this place is managed now.",1/5,3 years ago on  Google
6329,"My family and I love Disneyland. There's only one problem, they don't give discounts everywhere even when you have an annual pass. All that money we pay for an annual pass and we can't get discounts everywhere. Knott's Berry Farm annual pass gives discounts everywhere and I don't even pay a quarter of what we pay for Disneyland",4/5,3 years ago on  Google
6330,It truly is the happiest place on earth!,5/5,4 years ago on  Google
6331,The Halloween parade was great. It was well coordinated and full of energy.,5/5,5 years ago on  Google
6332,The star wars ride was awesome. It stated the wait was 60 minutes but it went much faster than that. So don't let the wait time scare you.,5/5,3 years ago on  Google
6333,Why rate??? This IS the happiest place on earth!!,5/5,3 years ago on  Google
6334,Got there early enough to get on enough rides before it got crowded. Even had time to try out some new foods. It was nice to see the holiday decor before it all got taken down.,5/5,4 years ago on  Google
6335,"Disney, I think you could do better than slam big corporation could-not-care-less into the face of a family that planned a once-in-a-lifetime (really, ONCE, that will certainly do it for us for Disney, especially after this) trip half way across the world (literally!) last July, for today, May 21, 2015. Yes, we were told at the gate that the park would be open until 6pm. We were charged full day fare of almost $400 for four people (not pocket change!!!). We were not told that we would actually be shoved out at 4pm. We were not told that there would be no fireworks. This was the only thing we wanted to see for sure, and had been told to stand on Main Street watching the castle for best view of that... so your custimer service telling us that well you had some rides (after considerable waits) and all this info was supposedly on your website is just poor customer service. Oh and tickets to after 4pm on May 22 with a very clear warning that we will not get in as the park will have reached maximum capacity by then and everyone would want to stay to see the fireworks... what kind of a lame ""compensation"" is that??? Please tell me you can do better. First name last name at gmail contact will do, with front line seats to tomorrow's fireworks. Please don't suck, Disney.",1/5,7 years ago on  Google
6336,"Disneyland is really a great place to go and enjoy family and friends. If you get the opportunity to do the Halloween Party, it's worth the price!Secondly, Disney, thank you for having rides and park apparel that accept some more ample folks. Truly, and from the bottom of my heart, thank you.",5/5,6 years ago on  Google
6337,"My home away from home. Such a magical place to gather with friends and family. Disney is the best at theme parks, having invented them, so a trip comes at the price of a pretty penny, but the memories truly do last a lifetime.",5/5,3 years ago on  Google
6338,"Have been waiting 40 years to get there and I wasn't disappointed at all. All the magic of Walt Disney was still there, felt like a kid again.Corn dogs and the fried chicken is all you need. Friendly helpful staff.",5/5,4 years ago on  Google
6339,I went to Disney Land when it first opened in 1954. My Dad took me. As A young kid. Went again in 67 took my last wife there in03 I have a photo of the castle Walt Disney copied. To make the castle of the magic kingdom. From a castle in Germany,5/5,a year ago on  Google
6340,I have an annual pass and go at least once or twice a month and I can tell you it never gets old. To do everything in one area of the park it takes at least half a day. This is the best place to take your kids and let your inner child shine through. This is the best place for a day out with your family or a week of fun. The best hotel is the Disneyland Hotel. It is walking distance from Downtown Disney and the rest of the park and has the best restaurants. It also has Goofy's Kitchen which is the only and best buffet in the whole Disney area. You can either do breakfast or dinner. Both has amazing food and the best experience. It is a character restaurant which means there are tons of characters that come around to all tables. It is a most do especially if you are visiting from very far away and won't visit that often because this is a once in a life time experience especially if you are celebrating a birthday. There are always tons of people with birthdays there so it is fun. Everybody is so lively and for the adults they serve alcohol beverages. For the kids they have tons of things that kids will enjoy. From mac and cheese to pizza.The best ride in the park is Big Thunder Mountain for the older kids and It's A Small World for the younger kids. Big Thunder Mountain is a fast pace roller coaster that goes through old western mountains with a cave and at the end you race out of a mountain that is about to explode. It's A Small World is a slow pace boat ride where you explore different cultures. It is not that fun for the older kids because most think that it is too slow.This is my view on Disneyland. In my view it is the best theme park for any thing.P.S. Sorry that this is super long. I'm a big writer and write a lot.,5/5,6 years ago on  Google
6341,"Great consumer product, in high demand.  Everyone visits Disney in spite of inflated costs and crowds. Ride wait lines just under an hour to hours. No toy weapons allowed (even if it is a astro blaster), no tools of any kind, security thing. Scattered shower days are good to avoid huge crowds, most ride lines are under covers anyways. Get your fast passes as soon as you arrive, then go on rides.",4/5,4 years ago on  Google
6342,What can I say. It's the happiest place on earth 🌎 The service was incredible and all of the employees are so nice.,5/5,11 months ago on  Google
6343,"I went to the Disneyland Halloween party and it was so amazing. I recommend that.Disneyland is such a friendly environment and it is very classy And sophisticated, yet fun and wild.I have season passes so I go a lot, and it is very worth it. Disneyland is so fun for families and friends and everyone.",5/5,6 years ago on  Google
6344,I really loved it. Rides were awesome and I went on all of them.... twice! Food there was also very good plus the hotel was great with air conditioning big rooms allowing u to see outside,5/5,3 years ago on  Google
6345,"One of the places where my family and I can enjoy our time together. Really loved the upgrade to the Rivers of America and the dignified, beautiful inclusion of the Native American village. Maybe we will be able to experience live Native American dancers at the park, which we loved as children.",5/5,5 years ago on  Google
6346,"I love it so much. The place is awesome. You just have to prepare to get wet, have lots of fun, photos and videos. You will be in for a great treat.",5/5,2 years ago on  Google
6347,you can not put 5 stars to this park,5/5,5 years ago on  Google
6348,First time there and I see what all the hype is about. The ride lines go by quick because even the lines are immersed as part of the ride experience. You really feel like you are a part of the show,5/5,3 years ago on  Google
6349,Worth the whole damn trip.,5/5,6 years ago on  Google
6350,"Overcrowded, and understandably. BUT was very disappointed when one of the rides BROKE down (scary to think about), but waited 2 hrs in line got into the ride and it decided not to work, so.....Instead of saying ok lets get you in the next ride, my family was told to get back in the line to get on the ride. Mind you it was a ""FAST PASS"" line (which is a joke), but I was not going to wait in any line when instead we should have went to the very front for the next ride that did work. I dont care if the line was lightning bolt fast, after 2 hours we should have never had to wait again.  I confronted the staff and got basically sorry you have to go to the back.  Bad business and plane rude, would never recommend to anyone I know.",1/5,3 years ago on  Google
6351,"Disneyland is great for families, big groups, or people who enjoy theme parks. If you don’t like riding roller coasters or “thrill” rides there is still lots to do. They even have less intense rides for you to try out.",3/5,4 years ago on  Google
6352,"Happiest place on earth! What more can you say. Fun time, fun rides",5/5,10 months ago on  Google
6353,If you are a fan of being in lines for 2 hours per ride and having no place to sit while waiting this place is just for you. I saw a manager or someone who looked like she was a manager or someone in charge of other staff members shouting at a tired father who had in arms his daughter.,1/5,3 years ago on  Google
6354,"Its Disneyland, got lucky for the opening of Galaxy's Edge and it truly wasn't all that, sorry to insult the Disney fans, but as a Star Wars fan it was really cool to see the lifesize millennium falcon up close.  But $200 for a build your own R2 unit which is really small, $8.00 for blue milk, $200 to build your own lightsaber...etc.  as you see it's all about money not to mention  it's $300 just to get in the gate plus an additional $25 to park, folks it adds up.  If you're a diehard Disney fan and you have the money then it's worth for you, but if you have the money saved up and you're prepared to spend a mortgage payment for a family of four just to go to one park then by all means enjoy.  At the time of my visit the Rise of the Resistance ride wasn't open so I honestly can't say if its gotten better.",3/5,2 years ago on  Google
6355,"Great fun but the lines were long so unless you're cash rich and can afford to lose the money for a queue jumper, be prepared. The only thing to marr the day was the awful food at the Mexican restaurant at Frontier. Best described as £15 slop and best avoided. But - it's Disney!! Have fun :-)",4/5,5 years ago on  Google
6356,"We spent Christmas Eve at Disneyland - ""what are you thinking"" our friends and family wondered. It was great, not any worse than May 7 years prior. The lines were long but Fast Pass was helpful. The Disney app is a must. The food options were not impressive but the wait times we ok. We weren't there for the food anyway. The holiday lights and light show with snow were breathtaking.",5/5,4 years ago on  Google
6357,"Magical as always.  Leave your expectations at home, and just enjoy the park for what it is.  Love this place.",5/5,a year ago on  Google
6358,"It's going to cost a lot of money, you are most likely a local taking someone from out of town.  Get fast passes, don't worry about California adventure, save it for another day, the night show is phenomenal eat before you go, and bring snacks.",4/5,4 years ago on  Google
6359,"What a blast !!. I think the number one detriment is the prejudice that this place is only for kids. Please break that mould and come to this place. I visited this place on 25th May 2015. The parking was very well organized. All rides had easy accessibility even for handicapped. Everything was in order and the staff was very helpful. I wish I had a couple more days to spend here. The icing on the cake was the ""World of Colors"" show which was re-done from scratch for the 60th Year Celebration. They used the waterworks as a canvas to project the Disney Story for the past 60 years. Worth another visit :)",4/5,7 years ago on  Google
6360,"I have been coming to Disneyland every year since I was a kid and its always been where some of my best memories are made.  During my most recent visit I noticed that not all cast members are exuding the same magic and excitement as they always have.  Upon my first entry into the park on my 5 day park hopper ticket one of the ticket takers made a comment of why they've banned double wides (I have a side by side double stroller) because per her they didn't have those back in the 50s when the park was made which is why it's tough to get the stroller thru the gate.  This comment was made after I had a bit of trouble getting thru the gate past their stools.  If these strollers have been banned then tell me I can't bring my stroller in.  They aren't enforcing this new rule because not only did I see other strollers like mine but wagons as well.  I spent way too much money on my visit to be talked smart to like that so Disney pay your people more so they aren't annoyed at guests or remind them of the ""magic"" they are to bring to every guests experience.The max pass also went up from $10 last year to $15 this year which is a bit excessive especially when some of the rides you cant request a fast pass for like the Star Wars ride.  I also noticed that they did not place photo takers at character experiences that I believe they should have.  For example Mickey and Minnie were together near the front gate in their Halloween costumes they did not have a photographer with them yet there were 3 for the line to take your pic in front of the flowers/train/sign at the front of the park there right beyond the gates.  When I asked the handler why this was he said the computer didn't recognize that Mickey and Minnie would be there together.  I dont believe that for a second since everything at Disney is run like a well oiled machine.  His delivery if this message wasn't in the nicest way either.My advice to Disney is to get your employees in check or do what needs to be done to make them happy and quit increasing prices, its expensive enough already.",4/5,3 years ago on  Google
6361,"Season pass holder,  I enjoy the day just taking in a few rides,  we aren't thrill seekers anymore so we have fun with the easygoing rides , its kind of like being a young child in your mind,  Walt would be proud of his dream come true,  I have been going to his park in Anaheim since 1970 , wow the changes and the things that are still the same.",5/5,3 years ago on  Google
6362,"We went as a family a few weeks ago. As shared in my feedback directly to park staff, this isn't the same place I remember as a child. While they still have a lot of the same rides and character interactions, every inch of the park is filled with ways to get their hands on your credit cards. The new areas like Star Wars Land is fun, but the old stuff is outdated and not worth the small amount of enjoyment in reminiscing on the good old days. Their prices keep going up and sadly many will continue to pay for not a lot in return. After visiting Disney World last year, I think that's where we'll invest our money whenever we decide to visit again. My response from the customer service team was completely copied/pasted which tells me that they really don't care about customer feedback. The rest of you can enjoy a several thousand dollar, but I'm done.",3/5,2 years ago on  Google
6363,"first visited in early 2000, and also been to Disney World (Orlando which is bigger). still have fond memories @ the happiest place on Earth! great day for families, couples, anyone! There is something for everyone at Disneyland. prices have gotten expensive so we choose a weekday to maximize our time there",4/5,4 years ago on  Google
6364,Paid for five passes...fast pass and access to both parks. Lines before noon were fine. After 1 we headed from Adventureland to Disneyland. Fast pass was an hour-two hour wait. We ended up leaving after one ride.,3/5,5 years ago on  Google
6365,I love disney! I even got to see one of the Disney cats!,5/5,3 years ago on  Google
6366,What a joke of a place !!!! Overpriced tickets. Security took way loooong. Too overcrowded. They should organize the crowds better using time slots. Just take your kid to a Disney store and get all the Disney toys your kids want and they would be much happier and your wallet will thank you as well. P.S: Our Universal theme park experience in Florida was much better.,1/5,4 years ago on  Google
6367,"We had the best time even though it rained. Got to hang out with close friends, finished the evening with dinner at Blue Bayou and Fantasmic! Exceptional dinner, the lamb was cooked perfectly! Surf n turf was delicious. Great customer service, Tim was hilarious and made dinner that much more enjoyable! Also there was a new busser who was so quick to fill up the mint juleps we didn't even notice him right away (I think his name was Alonso?? Sorry if that's wrong!)",5/5,3 years ago on  Google
6368,"Dangerously overcrowded on 7/20.  Saw security escorting upset people out of park; guests arguing over space to watch 9:30pm show, pushing and yielling, so it was unpleasant.  Perhaps limit number of guests per day,  Instead of just increasing the price  to benefit  the park, not the customer?  Expanding park with other rides? Other areas were as good as usual.  Thanks!",4/5,4 years ago on  Google
6369,Went on a Monday and it was pretty packed. Disappointed for my little man that pirates of the Caribbean and Tom Sawyer were down. Once the parade started the workers were very rude to everyone constantly yelling in a monotone voice trying to here a crowd. I wasn't even on the receiving end and I was annoyed for them. Nice time I'll try Disney world.,1/5,5 years ago on  Google
6370,"Love it! Atmosphere is amazing, attention to detail is spectacular and about 95% of all the employees are so friendly and welcoming. It's a must to visit this place. I've been like once every two weeks or once a month and I still love it.",5/5,6 years ago on  Google
6371,"great great place to bring kids to.  We had so much fun here from 9am till 9pm.  One drawback... takes a long time to clear the security check point once you take the escalator down from the parking lot.  Oh, the price is also quite steep.  Must buy the express pass or you may end up in lines for hours for rides.  The disney app was also very helpful.",5/5,4 years ago on  Google
6372,"Disneyland is not what it used to be. Way too crowded now, and there are more adults walking around without kids than with kids. Seriously, I've never seen so many adults waiting to see ""Mickey Mouse"" and hogging up the line for little ones that should be enjoying the magic. Disneyland needs to employ better crowd control (like kids only days). And stop charging $21 for a burger I could get free at the school cafeteria.",3/5,5 years ago on  Google
6373,Fantastic park. The wait wasn't to long because we went in the off season. Bring snacks and water. I suggest the ride app. Kids meals are way small. Loved the camera people.,5/5,5 years ago on  Google
6374,"I come here every year. Very expensive however the experience is awsome. I did have 1 bad incident where i lost my phone in one of the rental strollers when i retured it. Employee was rude, didnt want to check and told me oh well. A lady passing by lend me her phone and it rang...was in the stroller so the employee finally fetched it for me. But overall its an amazing experience. Love the disney app",5/5,3 years ago on  Google
6375,"Amazing staff, environment and park rides. Food price is highway robery but everything else is amazing for lasting memories.The new star wars section is a must see. They really outdid themselves with it",4/5,3 years ago on  Google
6376,"Being a Southern California native, Disneyland has brought so much joy to my family and I throughout the years. I have had a pass for the past 6 years and I don't regret it ever. Such a fun place to go on date nights, or with your family. Disneyland will always hold a special place in my heart. Also foodies- bread bowls across from the haunted mansion are my favorite! Must try if you haven't already!",5/5,6 years ago on  Google
6377,"The level of social engineering is spectacular. Crowded but not claustrophobic, plenty of rides, just pick a good time to go. Halloween party tickets were worth it.",5/5,4 years ago on  Google
6378,We arrived on a monday with a 3 day park hopper and an early morning park entrance. We come to Disney Land every year but this year it was not what Disney was sapose to be not friendly very unhappy employees sorry to say it but the employees were so rude and distresptful to everyone as if they were tired and did not want to be there alot of sarcasm thos made me have to work harder to show my little one a great time and way to many people the lines were an hour + long wait time my son is disable so we were given return times but even that was a hassle having to walk and find an employee to scan our tickets for every single ride I think i will not be visiting Disney for awhile maybe never it was just an all around disappointment and exhausting it took all 3 days just to do everything because of so many people. Food was good but the prices $$$ unbelievable Ice cream was the best and affordable shoping was affordable as well we were able to buy everything we wanted without breaking the bank that was a plus.,3/5,3 years ago on  Google
6379,THE HAD THE BEST TIME EVER!!!!!! Soooo fun and so magical!!! I can’t wait to go back !!!,5/5,11 months ago on  Google
6380,"Disneyland is a magical place, especially for kids. It's always clean, has rides the whole family can enjoy, and has wonderful shows. It's has far too much to do in one day, or even in a week, especially if you include California Adventure.You do have to go at the right time. Don't go on weekends, holidays, or when school is out, unless you really like waiting in lines. You definitely don't want to go on any day that is blacked out for an annual pass holder.Be aware this is a place that is meant to be fun for kids. While there are some roller coasters, you won't find the intense, stomach-churning roller coasters that you would find at Six Flags, for example.",5/5,6 years ago on  Google
6381,"The rides and everything is nice but there are also bad things. When I went to Cali adventures, I found it disappointing that they closed down the best rides and attractions. in addition, when I went to Cars Land, I also found it unfair that they only let the people with fast pass pass, not the stand by people, therefore the wait was like 2 HOURS!!! Plus when I was getting to the end they closed down the ride!!! 😡😡😡 I wasn’t very happy with disneyland",2/5,4 years ago on  Google
6382,"Just watched a disgusting fight between family members at your park where there was children present and it took over five minutes for anyone of your security team to show up.  Your prices are ridiculously high but you can’t even have decent security for your guests and the majority are children?  Shame on you,  visitors and most importantly children should not have to witness such disgusting behavior at your park.  Your lack of security should be conserving to everyone thinking of visiting Disneyland.  😡",1/5,3 years ago on  Google
6383,Nice theme park and very good evening parade.,4/5,3 years ago on  Google
6384,"If you love anything Disney, you'll love Disneyland, always something new going on depending on season and always very clean throughout the park and restrooms. We go here every week with our toddler!",5/5,3 years ago on  Google
6385,I love Disneyland but this last trip my family took was just ridiculous. We went on an off season during the middle of the week and we couldn't believe how crowded it was. People were shoulder to shoulder and kept bumping into my younger kids nearly knocking them down. We had fast passes for most of the big rides and still had quite a long wait because now everyone gets the fast passes. We hardly saw any of the characters and the ones we did see practically ran away from the kids or you had to stand in ridiculously long lines to see them. We even had some of the cast members be rude to me and my family. For the price you have to pay I wish it was a better experience.,2/5,5 years ago on  Google
6386,Had a great day with amazing friends. But Disney is a bunch of crooks. We went to Disneyland hotel and spent 300 on dinner at steakhouse 55 they could not validate parking and so we  had to spend 48 dollars for them to let us use a parking space for 3 hours . That is just greedy. Walt would roll over in his grave,1/5,4 years ago on  Google
6387,"I was hoping to be the 40,000 reviewer of Disneyland but couldn't wait. I asked the gentleman who took my ticket at the gate and asked him what it was like to work in Disneyland and he said, ""It's the happiest place on earth."" I'm a people watcher and I noticed that the park was particularly busy so I was wondering what actually is the busiest day of the year was and asked the folks at customer service and they said, ""The fourth of July"". No big deal except I happen to have asked that question ON THE FOURTH OF JULY! No wonder I was enjoying the crowd so much. If it wasn't for my fast pass I would never have been able to get a ride on the ""It's a small world after all"" ride. Anyway, 5 stars - Surprised?",5/5,4 years ago on  Google
6388,Happiest. Place. On. Earth. I just got an annual pass this year and I can't believe I had never done this before. Amazing experience. Not having to worry about the lines and the rides and missing out on anything is how to make the experience at the magic kingdom even better.The food has vastly improved as well. Starbucks in each park and such cool collector items. 100/10 will recommend to everyone and anyone. Disney fanatics unite. My fiance and I are huge Disney fans and we want to get married here ! (It would be a dream come true !!)Having the monerail and the train back is great. Can't wait for star wars land. Pixar pier is the 💩,5/5,4 years ago on  Google
6389,"The ""cast"" members were all so very nice and more than helpful ,the park was clean as always .the reason we went was for the Electric light parade and that was a good show, the only I had was that the parade started to late they had two shows 840 and 945 it was plenty dark enough to start  earlier than that ,but all in all it was a great trip and time at the park",4/5,3 years ago on  Google
6390,First off it’s not worth the money. It’s nothing compared to Disney World. The employees were less than happy to be there. With recent reports of how they underpay their employees I now get it. There are barely any characters walking around compared to FL. It took me a half hour to get through a line to see Micky. Speaking of lines people cut in front of you all the time and staff never did anything about it. Honestly you couldn’t pay me to go back there. This coming from a life long Disney lover! If I go to a Disney park it will be Disney World.,2/5,4 years ago on  Google
6391,"If you are exiting the Disneyland park and want to take the tram back to the structure... make sure you make a right versus making a left to the ""parking shuttle"". We made this mistake and instead had to enter the park in a 30 minute line at 545pm. There are no real signs and after taking to customer service and the police officers at the gate, they say this happens often and there's ""nothing"" they can do about it. Thank goodness we have season passes or we would have to pay a new fee to enter again.Truly disappointed.",1/5,4 years ago on  Google
6392,"What can you say, this is a dream place for kids, even I get excited to take my kids there. It was a super day from beginning to end, we went on small world, pirates, haunted mansion, splash mountain, Indiana jones, buzz lightyear,  autopia, submarine and last but not least Fantasmic. That is by far one of the most incredible shows I have ever seen. The special effects is awesome.  The only downer was that I had to sell my left nut for us to go, 375 to get in, 35 for parking, 60 for two mickey ears, and like 250 for lunch and dinner, but it was well worth it! I will go again",5/5,4 years ago on  Google
6393,"Extremely pack until after the fireworks, the awesome. We did adventure land for the first time. Everyone should do the pirates of the Caribbean ride.  Awesome.",5/5,3 years ago on  Google
6394,Well Disneyland is Disneyland it's fun but it seems like every day it's packed with people long lines !!! And now the prices went up on tickets ! Wow !. The people taking pictures some times they don't do a good job they just take it with out letting u know .  Just the down side to disneyland is that the prices went up on the tickets and annual passes. Wow really again !!! And what sucks is that we tried to renew our passes because of u do it before they expire u don't pay the new price remember 40 days before they expire. They did not want to help us out Disney is going way to over on prices not cool,4/5,4 years ago on  Google
6395,"I had the worst experience. I planned my Christmas vacation and I just had planned to go a single day to Disneyland with my 1.5yr old son and my 3yr old girl but, at the minute we entered the park, there was a major electric failure that affected the attractions my kids were allowed to enjoy. Therefore they did not rode in any of them. When we went to the area that was actually working it was CROWDED BIG TIME, lines seemed neverending and my kids started to be anxious. Then we decided to ask for a refund that took more than 4 hours due to the endless lines asking for refunds. We did had the refund but my kids didn't enjoy as planned.",3/5,4 years ago on  Google
6396,Top notch family fun. It is truly the happiest place on earth! Take advantage of the fastpass and enjoy shorter wait times for attractions. Of course treat yourself to a churro and a corn dog and be a kid a heart (for at least a day),5/5,3 years ago on  Google
6397,Had awesome time with family,5/5,3 years ago on  Google
6398,"Possibly the best theme park on the planet, despite its relatively small size. You'll find a mix of old and new rides - all full of Disney magic. Ticket prices are more expensive than the overseas parks, but you will get a lot more shows and parades for your hard earned dollars in exchange.",5/5,6 years ago on  Google
6399,Not the happiest place in earth but definitely the busiest. Outrageous ticket costs coupled with way too many people and way overpriced food. Unfortunately Disneyland is not what it used to be..If you like to spend hundreds of dollars to stand in line then then you will have a magical time.,1/5,6 years ago on  Google
6400,"I mean, it's Disneyland. Of course it is magical and we had an amazing day. However, they really need to limit the entry. It was waayyyyy too crowded for a Monday. I know it will never happen, but for everyone's sake, it should. Also, safety questions since my bag was searched before boarding the tram, coming in from parking lot, but no screening at all at the entrance. What about people who walk over? Screening should be at front entrance.",4/5,3 years ago on  Google
6401,This ride is spectacular!! It exceeded my expectations.  Soaring around the world with wind in your hair.,5/5,3 years ago on  Google
6402,Purchased Max pass which comes with the fast pass in the application the application went down from 11:30am to 5:30pm they started handing out fastpasses at the information desk but they weren't checking if the people in line were maxpass ticket holders so it felt like the whole park had fastpasses. Then the rides started to be shut down right around 12:50 until about 2 then they got shut down again. We went in for a refund and we had to wait an hour in a half in 111 degree weather for a refund. After they gave us a refund they escorted us out of the park. This was a very bad experience as we were visiting from Oklahoma and it was my birthday. It would have been nice for them to be more empathic as well as not kick us out after refunding us since it was their fault the rides and application was not working.,1/5,4 years ago on  Google
6403,This place was awesome! I recommend going during the week so it’s not so crowded. The first thing you should experience there is the Space Mountain Ride. It’s fun!,4/5,3 years ago on  Google
6404,"Still a classic; great, unique experiences that tries to point us to a Great Big Beautiful Tomorrow. Star Wars Galacy's Edge might not fit but is so unique, it feel so isolated and immersive. Amazing.",5/5,3 years ago on  Google
6405,Who doesn't love Disneyland! I love this place! As a 21 year old it always brings back childhood memories! The new stuff they added is so amazing. The river looks great and so does the DLRR. Every CM I see is always smiling and are always willing to answer anything. Keep up the great work Disney! Can't wait till Galaxy's Edge!!!,5/5,5 years ago on  Google
6406,"The restaurants we really wanted to eat out might as well be reservation only now.  We checked earlier in the day and they were already filled. I recommend you reserve a few days before your trip.  It's been a couple of years since we've gone and never encountered needing to reserve ahead like that at some many spots.  It was a lighter day, but still a ton of people and as always long waits in line and the fast pass fills up so you only get to use it for 3 to 4 rides.  It's Disneyland though. It's an amazing place and you could spend three days and still not see everything the parks have to offer. I honestly would pay more to have less people in the park.",4/5,4 years ago on  Google
6407,"Even though my favorite ride was down (Space Mountain)and Paradise Pier was getting a facelift, I had so much fun exploring the park after a good time away. The only qualm was the beignets, they we're pretty limp and sad. It almost seemed like they were made far in advance and just bagged for customers instead of made fresh",4/5,4 years ago on  Google
6408,"I did enjoy my time a little here. Too crowded I went in middle of September it was still unbarring (all the kids should be in school at this time). All the rides still felt like kiddie rides to me. I want some adult ride! Not worth the price in my opinion had 3 day hopper tickets we used the magic morning the first day there was only 2/3 of the park open at Disneyland bought the max pass for $10/person it was worth it. Rides were closed for reconstruction or changed to newer things. The first day 4 rides broke down in a row. Just a bit disappointed it definitely caters to the children maybe six flags, universal studios, and Knott's Berry farm might be a better option next time for the older crowd with no kids! 3 stars is because I enjoyed it a little.",3/5,4 years ago on  Google
6409,"C'mon, it's Disneyland. What's to review? It's a vacation destination.  Kids love it. Tweens and teens claim to hate it (they're too cool). 20-somethings I think get the most out of the park. Parents bring their kids (to renew the cycle). Finally grandparents spoil everyone with treats, watch those that are too little for the Matterhorn, and sit on the best ride in town, the bench on Main Street.As a Star Wars fan, I love that they built Galaxy's Edge, and could spend my whole day in just that side of the park.There's many different ways to enjoy Disneyland, and not all of them are just attractions.  I encourage you to find out what works best for you.  I know it's hella expensive, but you're spending all that money so you can have a good time.  Make the most of it.",5/5,2 years ago on  Google
6410,There is no place like Disneyland! When you go you will never forget. This place is the place for children to have fun and for adults to relax...or increase their stress level! The lines are long and the food is over priced!But all in all it mostly levels out!,5/5,3 years ago on  Google
6411,"Had a wonderful day at Disneyland. The employees were very helpful, but more ignore importantly, THE BATHROOMS WERE CLEAN!.This was my daughter's first time in California and she was excited. She was a little disappointed that the castle was covered. She kept comparing that to Orlando's Disney World.Great time had by all!",5/5,3 years ago on  Google
6412,"I know a lot of people immediately like to complain about the lines and prices, but it's all well worth it. Both Disneyland and California Adventure are 2 of my favorite places to visit in California! I know why it's referred to as the ""happiest place on Earth"" it's because it makes you forget about the rest of the world for a bit and take in all the great features of the park. This includes the rides, food, and definitely the characters! Walt Disney was a genius for coming up with such a great and enjoyable place like Disneyland! I can't wait to plan my 3rd trip to the parks soon!",5/5,4 years ago on  Google
6413,I understand that this is the original but I prefer the later incarnation in Florida. In Florida it is like a big Disney city whereas out in California it is more like a tiny dot of Disney in the middle of a city. Also the park itself is more crowded and seemingly less friendly and the rides are constantly breaking down.  I would possibly return if it were to cost a little less but otherwise my one trip here will probably be the only one.,3/5,4 years ago on  Google
6414,"Of course, it should be amazing! But the recent crowds caused by the discounted 3 day Socal tickets are completely insane. The park is unbearable for most of the day due to absurdly long lines and crowds everywhere. They need to never offer this deal again.",2/5,5 years ago on  Google
6415,Big disappointment.  Don't pay for the app. It charged me three times for the tickets so i will have to fight that at my bank. The Fast Pass system crashed early this morning and never came back up.,2/5,4 years ago on  Google
6416,"Please, what's not to love?! The new Star Wars ride is truly a must do. Rise of the Resistance. A nice interactive experience. Different and fun. Think Star Tours in real life.",5/5,2 years ago on  Google
6417,Adventurous fun place. I did both the parks in one day with the max pass and park hopper thing with my gf.if you have those two  you would pretty cover all the adults rides.  The photographers at the park did a great job with nice pictures. Everything looks organised.,5/5,4 years ago on  Google
6418,"I'm 61 years old and this still one of my favorite places. I've been going here since 1963. Unfortunately, the.prices are kind of out of my league any more, so its just going to have to be a fond memory now.",5/5,3 years ago on  Google
6419,"A bit expensive, but our kid really enjoys it,like nothing else.",5/5,3 years ago on  Google
6420,"Despite cost and crowds still the happiest place on earth, with mix of newer thrill rides and the 1950s original kids entertainment. Clean and safe even when packed with people. Very expensive.",5/5,3 years ago on  Google
